STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-12-2016,14.54,6927,1982,0,54,62,41,260,260,23.9,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-12-2016,12.97,6278,2170,0,43,43,32,320,320,23.9,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-12-2016,12.08,3204,2025,0.36,39,48,28,300,300,23.9,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-12-2016,17,796,612,0,39,43,35,270,270,29.1,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-12-2016,18.57,8047,2279,0,38,45,33,200,190,38,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-01-2017,9.84,261,1875,0,46,52,34,290,270,21,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-01-2017,10.07,5909,1383,0.31,40,43,34,50,60,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-01-2017,13.42,6531,2044,0.46,43,46,41,60,50,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-01-2017,17.67,1312,1119,0,46,55,35,290,270,29.1,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-01-2017,17.67,8261,1070,0,34,35,28,260,280,31.1,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-01-2017,8.72,8386,1522,0.03,32,36,27,330,310,17,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-01-2017,16.11,2231,2199,0.22,25,27,21,340,350,29.1,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-01-2017,18.34,2164,2170,0,21,26,18,320,310,29.1,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-01-2017,11.18,6916,183,0,20,24,13,240,300,21,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-01-2017,7.83,4772,630,0,27,47,20,170,180,25.1,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-01-2017,11.63,9619,870,0.46,45,51,41,210,210,23.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-01-2017,11.41,9410,1775,0.1,50,61,46,230,220,18.1,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-01-2017,16.78,6339,1309,0,50,58,34,320,320,29.1,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-01-2017,5.82,7116,1005,0.15,32,34,28,10,10,14.1,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-01-2017,8.28,9208,1641,0,35,41,30,360,350,14.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-01-2017,6.71,7191,1623,0,35,42,28,240,240,13,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-01-2017,7.38,298,1942,0.59,40,43,39,240,240,15,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-01-2017,10.74,568,186,0.09,41,42,40,20,40,16.1,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-01-2017,8.5,4628,113,0,43,54,37,320,320,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-01-2017,5.59,1487,961,0.08,44,46,42,40,60,12.1,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-01-2017,8.5,4174,1408,0,44,47,42,250,250,14.1,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-01-2017,8.95,5880,246,0.01,46,54,43,60,80,28,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-01-2017,25.05,7806,2067,0.84,44,47,38,50,50,36.9,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-01-2017,21.7,9861,640,1.22,38,40,38,40,50,40,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-01-2017,14.76,1372,1948,0,42,51,37,310,300,29.1,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-01-2017,14.76,7208,2259,0.03,45,55,42,290,290,35.1,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-01-2017,20.8,1040,2007,0,42,46,36,260,260,29.1,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-01-2017,17.67,9850,2329,0,37,40,34,250,250,28,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-01-2017,11.63,3828,44,0,38,46,30,270,270,21.9,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-01-2017,12.53,1778,732,0,36,39,30,310,310,23,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-01-2017,6.26,2358,892,0.05,30,32,26,90,320,14.1,19
